0	-0.28572,1.603,-0.23369,0.42476,0.071835,-1.6633,-0.67747,-0.20066,0.72559,-0.7226,0.096683,1.0443,1.1964,-0.27354,1.4416,0.065021,0.93454,-0.40575,0.9227,-0.29601,-0.51803,0.85121,-1.0339,0.050656,0.13964
1	-2.3121,-1.0691,0.3303,-0.84926,-0.45098,-1.1103,-2.7918,-0.34089,1.4889,0.060553,-1.1956,-0.34866,0.24117,1.7703,-1.2501,-0.52119,0.076553,-1.1669,0.34683,1.5578,0.083097,-2.923,1.978,-0.34806,0.82449
2	-0.6794,-1.4217,1.8045,1.0094,-1.1946,-0.81375,1.8712,-1.7412,-0.75792,0.9747,-0.62117,-0.8313,1.9836,0.77844,0.66287,1.7849,0.25166,0.83952,0.34842,1.0675,0.178,0.56765,1.0594,-1.5747,0.37254
3	0.031986,-0.69111,0.37532,-1.5569,0.59717,0.18255,-1.9639,-0.043171,1.5934,-0.021327,-0.40106,2.8735,0.49194,-0.85105,-1.1053,-0.82429,2.485,1.8842,1.6126,-0.016708,-0.092654,0.7981,1.7858,-0.27988,-0.60062
4	-0.73643,-0.33094,0.71033,1.4203,-0.32997,-0.35458,-0.80277,-1.041,0.010751,0.6346,0.096796,0.90198,2.0731,-0.41806,-1.38,0.70918,0.43961,0.97393,0.76108,-0.72432,-0.16126,1.3612,0.70493,1.0964,-0.7694
5	-0.90785,1.8661,-0.31822,-1.1019,-0.041964,-0.81494,0.021257,0.073472,-0.02522,-0.83921,0.10132,0.11368,1.4547,-0.01915,0.062014,1.5787,0.16991,0.46696,1.2029,1.3088,0.15492,-0.10324,-0.23132,-1.4904,-0.39112
6	-0.86765,1.3779,0.48822,-0.88735,-0.65665,-0.4604,-1.4103,-2.1729,-0.0017873,-0.77186,-0.94803,1.1911,0.30533,0.374,0.11885,0.62636,0.50756,-0.064047,0.89722,-0.57214,-0.43453,-0.58861,0.48148,0.40282,-1.2067
7	-0.3615,-0.16916,-1.8486,0.093848,0.5667,-0.089079,-0.46409,-0.54354,-0.65198,-0.10495,-0.62637,1.6679,1.0682,2.1236,2.4909,1.7266,-0.53744,-0.93223,0.48582,-1.405,-0.84641,0.91532,2.2807,0.036797,-2.1203
8	-0.76368,0.44109,-0.60775,0.22455,0.33518,0.12292,-0.12427,-1.5524,0.18737,0.97182,-0.0095262,0.89314,2.0251,0.27975,-0.16076,-0.7883,0.057349,-0.047115,0.22076,0.11554,-0.66419,0.27217,-0.34895,0.42602,0.39877
9	-0.63343,-0.57381,-0.35541,-0.59063,0.45142,0.44892,-0.1732,1.2753,-0.016739,-0.53594,1.3699,-1.6752,-3.0473,0.0012218,1.0388,0.36601,0.40114,-0.36283,-0.67366,0.37025,-0.20911,-1.657,1.2363,0.096288,-0.062844
10	0.63778,0.951,0.94084,-0.55095,0.061804,-1.6735,-0.57046,-1.575,0.52742,-0.36423,0.5622,0.0092832,0.39176,0.46647,-0.75899,0.30844,0.46117,0.30029,1.5491,1.2386,-0.72546,1.7488,0.40758,-1.9659,0.053222
11	-0.73255,1.0959,0.20137,-0.23077,0.65482,0.21898,-0.56644,-0.11386,1.5604,0.17398,-0.39577,0.12748,0.81014,0.089863,0.15901,-0.53886,0.59482,0.08778,0.23975,0.10082,-0.74933,0.80466,-1.4806,0.47652,-0.36291
12	-0.72877,1.9552,-0.36599,0.4872,0.73475,1.6086,-1.319,-1.4266,1.7659,-0.87277,-0.64642,0.91066,1.822,0.31417,0.64487,0.45417,0.8811,-1.0493,0.29513,-0.10646,1.519,-1.0539,1.2877,1.352,0.83726
13	-1.157,-0.098831,-0.49593,-0.33179,-0.52359,-0.27251,1.2131,-2.2443,-0.44958,-0.70201,0.3264,0.11276,1.8185,0.70642,0.14809,1.1671,0.28505,1.3381,0.9942,-0.44479,0.70634,0.54905,0.42452,-0.37272,-0.22981
14	-0.56856,0.91374,-0.19017,-0.31324,0.087234,-2.2326,-1.905,-1.0249,-1.067,-2.5214,-1.2195,0.20026,1.2391,-0.066963,0.078629,0.2146,0.94615,0.10129,0.87868,1.8519,-0.27111,-0.93697,0.054608,-2.0982,0.89965
15	-0.095605,-0.11247,-0.064316,-0.14473,-0.36058,-1.1508,-0.80017,-1.3211,0.48838,-0.1648,-0.19632,0.048571,1.0677,-0.25986,0.22119,1.3202,1.1415,0.10683,0.8572,0.84218,-0.47721,0.94367,0.17433,0.488,-0.46181
16	0.4287,0.94197,0.48216,-0.48419,-0.91699,-0.66359,-1.9221,-1.3282,0.2172,-0.31227,-0.61662,-1.1409,0.13197,-0.20883,0.57883,0.69853,0.78251,-0.94949,1.0296,0.42432,-0.29979,-0.41965,-0.7756,-0.59812,-0.67863
17	-1.2557,1.9706,0.53261,0.72176,-1.9645,0.37708,-0.46863,-1.7103,1.3137,-0.0014567,0.33125,-0.18835,1.9624,-2.475,-0.00012988,0.9242,-1.2692,-0.15909,0.91181,0.56648,0.00094699,-1.8286,2.0838,1.6272,2.2663
18	-0.91911,0.18489,-0.11911,-1.208,-1.0236,-0.90863,-0.58978,-1.6013,0.78014,0.0089976,-1.223,0.21079,-0.12361,0.90956,0.64742,-0.42523,0.40198,0.23805,0.45634,1.0179,0.43576,-0.56599,0.33203,-1.1808,0.16123
19	1.3124,0.81179,1.0107,0.26826,-1.1915,-0.20364,-1.533,0.17005,-0.26386,-1.1576,0.30908,-0.84481,0.25149,0.17096,0.71304,1.4937,0.96403,-0.033113,1.2457,0.31244,-0.26808,0.36492,0.49339,0.54392,0.2054
20	-0.43455,1.0166,1.0482,-1.6269,0.21831,1.6495,-0.88186,-1.4883,0.51891,0.31628,0.033154,0.91589,1.5398,0.56105,0.2694,1.2744,-0.13198,0.18149,-0.17182,-0.37808,-1.5767,0.47325,-0.18665,0.66058,-1.0012
21	-1.3847,-0.78373,0.078326,-0.046721,0.31979,-0.17897,-0.4778,-1.7997,0.15174,-0.15364,0.055939,0.27303,-0.014021,-0.34964,0.1494,-0.22591,1.7855,0.089877,1.0928,-0.45399,0.28471,1.3534,-0.59542,-1.2766,-0.80103
